Servidor de administración virtual,Grupo,Dispositivo,Placa madre,CPU,"Memoria, en MB",Almacenamiento de datos,"Total, en GB","Total disponible, en GB",Adaptador de video,Controlador de interfaz de red,Tarjeta de sonido,Unidad de disco óptico,Monitor,Dirección IP:,Dirección IPv6
,Agencias,PCF0013,H110M-E D3,Intel(R) Celeron(R) CPU G3900 @ 2.80GHz,8192,CT480BX500SSD1 252/480,480,252,Intel(R) HD Graphics 510,Realtek PCIe GbE Family Controller (70:4D:7B:62:8D:28),"High Definition Audio Device, Sonido Intel(R) para pantallas",HL-DT-ST DVDRAM GH24NSC0,Generic Non-PnP Monitor,192.168.1.94,N/D
,Agencias,PCF0146,H110M-K,Intel(R) Pentium(R) CPU G4400 @ 3.30GHz,8192,"KINGSTON SA400S37120G 42/120, TOSHIBA DT01ACA050 409/500",620,451,Intel(R) HD Graphics 510,Realtek PCIe GbE Family Controller (88:D7:F6:40:ED:1D),"High Definition Audio Device, Intel(R) Display Audio",,Generic PnP Monitor,192.168.4.38,N/D
,Agencias,PCF0153,H110M-A/M.2,Intel(R) Pentium(R) CPU G4400 @ 3.30GHz,8192,KINGSTON SA400S37480G 391/480,480,391,Intel(R) HD Graphics 510,Intel(R) Ethernet Connection (2) I219-V (B0:6E:BF:7F:71:E8),"Realtek High Definition Audio, Intel(R) Display Audio",,Generic PnP Monitor,192.168.2.141,N/D
,Agencias,PCF0154,H110M-C,Intel(R) Pentium(R) CPU G4400 @ 3.30GHz,8192,KINGSTON SA400S37480G 370/480,480,370,Intel(R) HD Graphics 510,Realtek PCIe GbE Family Controller (60:45:CB:A5:CF:32),"Realtek High Definition Audio, Intel(R) Display Audio",,Generic PnP Monitor,192.168.14.127,N/D
,Agencias,PCF0162,H110M-C,Intel(R) Pentium(R) CPU G4400 @ 3.30GHz,8192,HS-SSD-C100 480G 313/480,480,313,"NVIDIA GeForce GT 710, Intel(R) HD Graphics 510",Realtek PCIe GbE Family Controller (60:45:CB:A4:62:65),"Realtek High Definition Audio, NVIDIA High Definition Audio, Intel(R) Display Audio",,Generic PnP Monitor,192.168.16.203,N/D
,Agencias,PCF0168,H110M-R,Intel(R) Pentium(R) CPU G4400 @ 3.30GHz,8192,"KINGSTON SA400S37120G 16/120, ST1000DM010-2EP102 868/1000",1120,884,Intel(R) HD Graphics 510,Realtek PCIe GbE Family Controller (18:31:BF:B1:E5:30),"Realtek High Definition Audio, Intel(R) Display Audio",,Generic PnP Monitor,192.168.11.70,N/D
,Agencias,PCF0169,H110M-R,Intel(R) Pentium(R) CPU G4400 @ 3.30GHz,8192,"ST1000DM010-2EP102 867/1000, Patriot Burst Elite 240GB 156/240",1240,1023,Intel(R) HD Graphics 510,Realtek PCIe GbE Family Controller (4C:ED:FB:97:E4:2B),"High Definition Audio Device, Intel(R) Display Audio",,Generic PnP Monitor,192.168.12.165,N/D
,Agencias,PCF0171,H110M-R,Intel(R) Pentium(R) CPU G4400 @ 3.30GHz,8192,HP SSD S700 500GB 406/500,500,406,Intel(R) HD Graphics 510,Realtek PCIe GbE Family Controller (4C:ED:FB:97:DF:00),Intel(R) Display Audio,,Generic PnP Monitor (CN42103SXJ),192.168.11.50,N/D
,Agencias,PCF0182,H110M-K,Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz,8192,KINGSTON SA400S37480G 179/480,480,179,Intel(R) HD Graphics 630,Realtek PCIe GbE Family Controller (18:31:BF:CB:5E:21),"Intel(R) Display Audio, Realtek High Definition Audio",,"Generic PnP Monitor, Generic PnP Monitor (401NDBP2J909)",192.168.9.169,N/D
,Agencias,PCF0188,H110M-K,Intel(R) Pentium(R) CPU G4400 @ 3.30GHz,8192,"ST1000DM010-2EP102 846/1000, KINGSTON SA400S37240G 119/240",1240,965,Intel(R) HD Graphics 510,Realtek PCIe GbE Family Controller (4C:ED:FB:6A:DD:F9),"Realtek High Definition Audio, Intel(R) Display Audio",,Generic PnP Monitor,192.168.9.176,N/D
,Agencias,PCF0191,H310M PRO-VH (MS-7B33),Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,"TOSHIBA DT01ACA100 912/1000, KINGSTON SA400S37240G 144/240",1240,1056,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (30:9C:23:DE:F9:DF),"Realtek High Definition Audio, Intel(R) Display Audio",,Generic PnP Monitor,192.168.11.71,N/D
,Agencias,PCF0217,PRIME H310M-A R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,"ST1000DM010-2EP102 126/1000, KINGSTON SA400S37240G 137/240",1240,263,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (04:92:26:4E:81:D5),"Intel(R) Display Audio, Realtek High Definition Audio",,Generic PnP Monitor,192.168.13.64,N/D
,Agencias,PCF0218,PRIME H310M-A R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,"ST1000DM010-2EP102 867/1000, KINGSTON SA400S37480G 341/480",1480,1208,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (04:92:26:4E:81:72),"Intel(R) Display Audio, Realtek High Definition Audio",,Generic PnP Monitor,192.168.13.83,N/D
,Agencias,PCF0221,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,KINGSTON SA400S37480G 215/480,480,215,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (14:EB:B6:BF:12:42),"Intel(R) Display Audio, High Definition Audio Device",,"Generic PnP Monitor (CN42132JJQ), Generic PnP Monitor",192.168.8.95,N/D
,Agencias,PCF0222,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,192.168.6.62,N/D
,Agencias,PCF0223,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,ST1000DM010-2EP102 822/1000,1000,822,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (04:D4:C4:AC:94:16),Intel(R) Display Audio,,Generic PnP Monitor,192.168.40.110,N/D
,Agencias,PCF0223~~16819,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,KINGSTON SA400S37480G 297/480,480,297,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (04:D4:C4:AC:94:16),"Intel(R) Display Audio, High Definition Audio Device",,Generic PnP Monitor,192.168.8.93,N/D
,Agencias,PCF0227,PRIME H310M-E R2.0,Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz,8192,ST1000DM010-2EP102 236/1000,1000,236,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (04:D4:C4:AC:96:6B),Intel(R) Display Audio,,Generic PnP Monitor,192.168.1.156,N/D
,Agencias,PCF0229,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,ST1000DM010-2EP102 727/1000,1000,727,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (04:D4:C4:AC:94:07),Intel(R) Display Audio,,Generic PnP Monitor,192.168.8.74,N/D
,Agencias,PCF0231,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,ST1000DM010-2EP102 868/1000,1000,868,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (04:D9:F5:33:79:A9),"Intel(R) Display Audio, High Definition Audio Device",,Generic PnP Monitor,192.168.1.70,N/D
,Agencias,PCF0232,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,KINGSTON SA400S37480G 363/480,480,363,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (04:D9:F5:33:7C:0E),Intel(R) Display Audio,,Generic PnP Monitor,192.168.2.135,N/D
,Agencias,PCF0233,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,ST1000DM010-2EP102 879/1000,1000,879,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (04:D4:C4:AC:94:AD),Intel(R) Display Audio,,"Generic PnP Monitor, Generic PnP Monitor (CN42132JJG)",192.168.1.84,N/D
,Agencias,PCF0234,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,"ST1000DM010-2EP102 388/1000, KINGSTON SA400S37480G 364/480",1480,752,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (04:D9:F5:33:7A:48),"Intel(R) Display Audio, Realtek High Definition Audio",,Generic PnP Monitor,192.168.7.53,N/D
,Agencias,PCF0236,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,KINGSTON SA400S37480G 309/480,480,309,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (04:D9:F5:61:C9:E3),Intel(R) Display Audio,,"Generic PnP Monitor (CN42171ZNY), Generic PnP Monitor",192.168.2.119,N/D
,Agencias,PCF0238,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,KINGSTON SA400S37480G 145/480,480,145,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (04:D9:F5:61:C9:E0),Intel(R) Display Audio,,Generic PnP Monitor,192.168.4.89,N/D
,Agencias,PCF0240,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,KINGSTON SA400S37240G 153/240,240,153,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (04:D9:F5:33:79:3B),"Intel(R) Display Audio, High Definition Audio Device",,Generic PnP Monitor,192.168.12.120,N/D
,Agencias,PCF0250,PRIME H310M-D R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,ST1000DM010-2EP102 868/1000,1000,868,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (04:92:26:CF:07:16),Intel(R) Display Audio,,Generic PnP Monitor,192.168.9.85,N/D
,Agencias,PCF0251,PRIME H310M-D R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,"ST1000DM010-2EP102 381/1000, TOSHIBA DT01ACA050 389/480",1480,770,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (04:92:26:CE:E4:72),Intel(R) Display Audio,,Generic PnP Monitor,192.168.6.65,N/D
,Agencias,PCF0252,PRIME H310M-D R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,ST1000DM010-2EP102 857/1000,1000,857,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (04:92:26:CF:06:9B),Intel(R) Display Audio,,Generic PnP Monitor,192.168.4.165,N/D
,Agencias,PCF0258,PRIME H310M-D R2.0,Intel(R) Core(TM) i3-9100 CPU @ 3.60GHz,8192,ST1000DM010-2EP102 872/1000,1000,872,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (04:92:26:4E:38:77),Intel(R) Display Audio,,Generic PnP Monitor,192.168.7.79,N/D
,Agencias,PCF0266,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-9100 CPU @ 3.60GHz,8192,ST1000DM010-2EP102 843/1000,1000,843,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (A8:5E:45:2B:4D:1D),Intel(R) Display Audio,,Generic PnP Monitor,192.168.9.152,N/D
,Agencias,PCF0268,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-9100 CPU @ 3.60GHz,8192,KINGSTON SA400S37120G 9/120,120,9,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (A8:5E:45:2B:48:FC),Intel(R) Display Audio,,"Generic PnP Monitor, Generic PnP Monitor (CN42132JHX)",192.168.7.74,N/D
,Agencias,PCF0271,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-9100 CPU @ 3.60GHz,8192,Patriot Burst Elite 240GB 126/240,240,126,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (A8:5E:45:69:C0:B2),"Intel(R) Display Audio, High Definition Audio Device",,Generic PnP Monitor,192.168.14.116,N/D
,Agencias,PCF0272,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-9100 CPU @ 3.60GHz,8192,KINGSTON SA400S37480G 406/480,480,406,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (A8:5E:45:68:D9:A4),"Intel(R) Display Audio, High Definition Audio Device",,Generic PnP Monitor,192.168.14.128,N/D
